name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty,professor_url
Benjamin Yelle,Philosophy,3.9,44,61%,3.3,https://www.ratemyprofessors.com/professor/2194624
Francesco Restuccia,Electrical Engineering,2,2,0%,4,https://www.ratemyprofessors.com/professor/2769259
Peter Topalov,Mathematics,4.6,30,100%,1.9,https://www.ratemyprofessors.com/professor/801764
Joydeep Mitra,Computer Science,3.3,24,58%,3.6,https://www.ratemyprofessors.com/professor/2948118
Dan Metzger,Writing,5,72,100%,2.1,https://www.ratemyprofessors.com/professor/2727794
Julie Baker,English,2.6,11,27%,4,https://www.ratemyprofessors.com/professor/2488572
Tareq Nasralah,Business Administration,4.7,9,89%,3,https://www.ratemyprofessors.com/professor/2589172
Christos Zahopoulos,Mechanical Engineering,4.4,7,67%,3.6,https://www.ratemyprofessors.com/professor/1811732
Sanaa Jehi,Biotechnology,3,4,50%,3.5,https://www.ratemyprofessors.com/professor/3088682
Kate Ashley,Business,4.7,3,100%,3.3,https://www.ratemyprofessors.com/professor/3005512
Dustin Steele,Chemistry,5,2,100%,3,https://www.ratemyprofessors.com/professor/3050109
Ferdinand Vesely,Computer Science,2.9,41,56%,3.3,https://www.ratemyprofessors.com/professor/2650446
Ghita Amor Tijani,Computer Science,3.4,18,61%,2.4,https://www.ratemyprofessors.com/professor/2418617
Silvia Dominguez,Human Services,2.5,15,36%,3.6,https://www.ratemyprofessors.com/professor/1066767
Prashant Pandey,Computer Science,5,1,100%,2,https://www.ratemyprofessors.com/professor/3144023
Sadie Piatt,Chemistry,1.5,210,10%,4.8,https://www.ratemyprofessors.com/professor/2935875
Oyindasola Oyelaran,Chemistry,2.8,72,30%,4.5,https://www.ratemyprofessors.com/professor/1646312
Curtis Odom,Management,3.9,35,66%,3.4,https://www.ratemyprofessors.com/professor/2264585
Rajagopal Venkatesaramani,Computer Science,3.5,30,63%,3.6,https://www.ratemyprofessors.com/professor/2947671
Eliza Osorio,Political Science,1.2,28,0%,3.3,https://www.ratemyprofessors.com/professor/3047136
Hongyang Zhang,Computer Science,3.5,25,60%,3.3,https://www.ratemyprofessors.com/professor/2689314
Emad Aboelela,Electrical Engineering,3.6,16,69%,2.9,https://www.ratemyprofessors.com/professor/2546624
Daniel Adams,Architecture,4.2,13,100%,3.7,https://www.ratemyprofessors.com/professor/1536237
Yafeng Wang,Philosophy,4.9,11,100%,1.5,https://www.ratemyprofessors.com/professor/3058645
Lee Moreau,Visual Arts,3.3,10,60%,2.8,https://www.ratemyprofessors.com/professor/2975343
Eric Gerber,Computer Science,5,8,100%,3,https://www.ratemyprofessors.com/professor/2837478
Alina Oprea,Computer Science,1.8,5,20%,3.6,https://www.ratemyprofessors.com/professor/2641223
Beth Molnar,Health Science,5,1,100%,2,https://www.ratemyprofessors.com/professor/3149865
Joseph Curro,Health Science,5,1,100%,3,https://www.ratemyprofessors.com/professor/3080777
Hanai Sadaka,Mathematics,3.2,122,45%,3.3,https://www.ratemyprofessors.com/professor/403390
Marco Rainho,Mathematics,4.5,107,87%,2.6,https://www.ratemyprofessors.com/professor/1657413
Ganesh Krishnamoorthy,Business,3.9,81,61%,3.7,https://www.ratemyprofessors.com/professor/118987
Aaron Hoffman,Mathematics,2.6,52,35%,3.7,https://www.ratemyprofessors.com/professor/2523355
Sophia Ainslie,Fine Arts,3,45,32%,3.3,https://www.ratemyprofessors.com/professor/165275
Matthew Smith,Philosophy,4.1,23,83%,3,https://www.ratemyprofessors.com/professor/2341550
David Nace,Marketing,2.7,21,29%,4.2,https://www.ratemyprofessors.com/professor/3046353
Vivek Venkatachalam,Physics,2.2,18,29%,3.4,https://www.ratemyprofessors.com/professor/2402729
John Wegner,Visual Arts,1.7,6,0%,4,https://www.ratemyprofessors.com/professor/3157047
Timothy Tardiff,Economics,2.6,5,40%,2.8,https://www.ratemyprofessors.com/professor/2894242
Justin Wang,Computer Science,3.7,41,65%,2.7,https://www.ratemyprofessors.com/professor/2963762
Heather Littlefield,Linguistics,4.6,34,100%,3.4,https://www.ratemyprofessors.com/professor/522184
Yong-Bin Kim,Electrical Engineering,3,17,25%,3.4,https://www.ratemyprofessors.com/professor/842475
Apoorva Koticha,Finance,3.1,12,42%,3.3,https://www.ratemyprofessors.com/professor/2822513
Heatherjean MacNeil,Management,4.6,7,71%,2.7,https://www.ratemyprofessors.com/professor/2887841
Douglass Scott,Creative Studies,5,4,100%,2.5,https://www.ratemyprofessors.com/professor/2401192
Alejna Brugos,Linguistics,5,4,100%,2,https://www.ratemyprofessors.com/professor/2848153
Pierre Tchetgen,Graphic Design,2,3,33%,1.7,https://www.ratemyprofessors.com/professor/2948629
