term,created_date,course_info,audience,section,question,Number of Responses,Course Mean,Dept. Mean,Univ. Mean,Course Median,Dept. Median,Univ. Median,count_5,count_4,count_3,count_2,count_1,comment_prompt,comments_json,demographics_json
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,3,5.0,4.25,4.41,5.0,5.0,5.0,3,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,3,5.0,4.0,4.3,5.0,4.0,5.0,3,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,3,5.0,3.81,4.2,5.0,4.0,5.0,3,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,3,4.33,4.47,4.69,5.0,5.0,5.0,2,0,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,3,5.0,4.42,4.45,5.0,5.0,5.0,3,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,2,5.0,4.05,4.36,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Learning Related Questions,In-class sessions were helpful for learning.,3,4.67,3.61,4.29,5.0,4.0,5.0,2,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,2,5.0,4.04,4.29,5.0,4.5,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Learning Related Questions,This course was intellectually challenging.,2,5.0,4.84,4.37,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Learning Related Questions,I learned a lot in this course.,2,4.5,4.21,4.43,4.5,4.5,5.0,1,1,0,0,0,,,
